lemma,abs_frequency,ipm
хозяйка,5669,79
подбегать,5666,79
пистолет,5660,79
поинтересоваться,5656,79
речка,5652,79
малыш,5643,78
старинный,5643,78
кольцо,5638,78
непонятный,5635,78
пятно,5632,78
вернуть,5627,78
тарелка,5618,78
прикрывать,5609,78
тетрадь,5605,78
предполагать,5600,78
покидать,5588,78
медведь,5579,77
рассмеяться,5571,77
сарай,5557,77
человеческий,5549,77
мост,5543,77
опасность,5543,77
скамейка,5541,77
еле,5530,77
пещера,5526,77
инженер,5524,77
музей,5521,77
пропускать,5518,77
билет,5517,77
надоедать,5516,77
боря,5515,77
изо,5509,77
верхний,5509,77
обходить,5502,76
десяток,5500,76
митька,5496,76
стенка,5494,76
надя,5489,76
тимка,5488,76
тянуться,5487,76
отлично,5486,76
клуб,5485,76
вика,5480,76
насчет,5468,76
адрес,5463,76
гошка,5461,76
выражение,5461,76
оглядывать,5458,76
юный,5453,76
тихонько,5441,76
бедный,5437,76
театр,5435,75
ради,5435,75
стучать,5434,75
башня,5434,75
рубль,5429,75
институт,5425,75
штука,5422,75
нарисовать,5421,75
тотчас,5421,75
освещать,5420,75
существо,5419,75
прятаться,5416,75
обходиться,5409,75
столик,5409,75
кончать,5387,75
число,5377,75
парк,5374,75
закон,5371,75
штаны,5369,75
куча,5364,75
мертвый,5362,74
кожа,5361,74
мотор,5360,74
ружье,5357,74
бандит,5356,74
свертывать,5353,74
захотеться,5346,74
сомнение,5344,74
незаметно,5343,74
вмешиваться,5340,74
пионер,5335,74
автомат,5328,74
прямой,5328,74
обыкновенный,5323,74
очередной,5314,74
выглядывать,5310,74
сдавать,5305,74
достаточно,5305,74
матрос,5304,74
грязный,5303,74
болото,5301,74
готовиться,5297,74
динка,5291,73
поиск,5289,73
нажимать,5282,73
лесной,5280,73
счет,5279,73
терять,5273,73
саня,5270,73
разбивать,5264,73
вытягивать,5261,73
подвал,5256,73
фраза,5255,73
картошка,5247,73
гораздо,5246,73
отвертываться,5243,73
животное,5226,73
сережка,5221,73
милиционер,5220,73
линия,5205,72
блестящий,5198,72
посадить,5195,72
мария,5188,72
нормальный,5185,72
научаться,5184,72
высота,5181,72
расходиться,5176,72
яшка,5175,72
тащить,5173,72
готовить,5168,72
трудный,5160,72
власть,5157,72
изба,5151,72
согласный,5150,72
мамин,5149,72
предмет,5145,71
леня,5141,71
кирилл,5140,71
пакет,5138,71
моряк,5138,71
разглядеть,5132,71
немецкий,5131,71
пароход,5127,71
опыт,5127,71
новость,5118,71
несмотря,5108,71
пример,5102,71
убеждаться,5089,71
направление,5087,71
познакомиться,5086,71
тип,5084,71
елена,5075,70
приятно,5075,70
состояние,5070,70
кругом,5069,70
дорожка,5060,70
шарик,5058,70
ступенька,5048,70
